x,y,layer1,layer2,voltage1,voltage2,current
240.396,322.596,TOP_LAYER,BOTTOM_LAYER,0.0122729,0.011931,0.791458
240.396,338.344,TOP_LAYER,BOTTOM_LAYER,0.0122729,0.0120948,0.412174
240.396,358.029,TOP_LAYER,BOTTOM_LAYER,0.0122729,0.0120948,0.412174
240.396,373.777,TOP_LAYER,BOTTOM_LAYER,0.0123176,0.0120948,0.515763
240.396,393.462,TOP_LAYER,BOTTOM_LAYER,0.0123176,0.0120121,0.70715
240.396,499.761,TOP_LAYER,BOTTOM_LAYER,12.5608,12.5609,-0.185681
264.018,499.761,TOP_LAYER,BOTTOM_LAYER,12.5608,12.5611,-0.736766
492.365,212.36,TOP_LAYER,BOTTOM_LAYER,12.5745,12.5746,-0.428261
492.365,257.635,TOP_LAYER,BOTTOM_LAYER,12.5744,12.5746,-0.453593
512.05,212.36,TOP_LAYER,BOTTOM_LAYER,12.5745,12.5746,-0.428261
512.05,257.635,TOP_LAYER,BOTTOM_LAYER,12.5744,12.5746,-0.453593
531.735,212.36,TOP_LAYER,BOTTOM_LAYER,12.5745,12.5752,-1.61018
531.735,257.635,TOP_LAYER,BOTTOM_LAYER,12.5744,12.5751,-1.64285
543.546,511.572,TOP_LAYER,BOTTOM_LAYER,12.5699,12.5695,0.922447
674.019,519.445,TOP_LAYER,BOTTOM_LAYER,0.0118693,0.0118693,2.81119e-14
1008.39,123.457,TOP_LAYER,BOTTOM_LAYER,0,0.000392256,-2.83872
1008.39,223.457,TOP_LAYER,BOTTOM_LAYER,12.594,12.5933,5.01673
