refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,12.594,6,0
VCOMP0,VCOMP0-1,0,-6,0
VCOMP1,VCOMP1-0,12.5597,-0.922445,0.114286
VCOMP1,VCOMP1-1,12.5696,-1.00904,0.114286
VCOMP1,VCOMP1-2,12.5703,-1.01505,0.114286
VCOMP1,VCOMP1-3,12.5726,-1.03504,0.114286
VCOMP1,VCOMP1-4,12.5726,-1.03515,0.114286
VCOMP1,VCOMP1-5,12.5667,-0.983263,0.114286
VCOMP1,VCOMP1-6,0.0128974,0.712002,0.114286
VCOMP1,VCOMP1-7,0.0138862,0.703351,0.114286
VCOMP1,VCOMP1-8,0.0130665,0.710523,0.114286
VCOMP1,VCOMP1-9,0.0128021,0.712836,0.114286
VCOMP1,VCOMP1-10,0.00369018,0.792566,0.114286
VCOMP1,VCOMP1-11,0.00336322,0.795426,0.114286
VCOMP1,VCOMP1-12,0.00473151,0.783454,0.114286
VCOMP1,VCOMP1-13,0.00400322,0.789826,0.114286
