x,y,layer1,layer2,voltage1,voltage2,current
-192.675,-181.341,TOP_LAYER,BOTTOM_LAYER,0.0118946,0.0117265,0.38909
-192.675,-141.971,TOP_LAYER,BOTTOM_LAYER,0.0119771,0.0119105,0.154193
-192.675,-102.601,TOP_LAYER,BOTTOM_LAYER,0.0120864,0.0120711,0.0354478
-192.675,-23.8608,TOP_LAYER,BOTTOM_LAYER,0.0123569,0.0125136,-0.362838
-192.675,15.5092,TOP_LAYER,BOTTOM_LAYER,0.0124204,0.0125136,-0.215892
-113.934,-23.8608,TOP_LAYER,BOTTOM_LAYER,12.5564,12.5564,0.21768
-113.934,15.5092,TOP_LAYER,BOTTOM_LAYER,12.5564,12.5563,0.363089
-113.934,94.2494,TOP_LAYER,BOTTOM_LAYER,12.556,12.556,0.0063903
-113.934,133.619,TOP_LAYER,BOTTOM_LAYER,12.5558,12.5559,-0.143065
-113.934,172.99,TOP_LAYER,BOTTOM_LAYER,12.5556,12.5558,-0.444095
477.094,-162.527,TOP_LAYER,BOTTOM_LAYER,0,0.00110545,-8
477.094,-62.5275,TOP_LAYER,BOTTOM_LAYER,12.568,12.5669,8
