x,y,layer1,layer2,voltage1,voltage2,current
-2551.86,-967.436,TOP_LAYER,BOTTOM_LAYER,0.0464363,0.0456497,1.07705
-2527.25,-315.271,TOP_LAYER,BOTTOM_LAYER,0.049008,0.0482134,1.08803
-2448.82,2010.61,TOP_LAYER,BOTTOM_LAYER,0.0470223,0.0467116,0.534209
-2339.17,-213,TOP_LAYER,BOTTOM_LAYER,0.0521521,0.0501562,3.08181
-2334.24,891.055,TOP_LAYER,BOTTOM_LAYER,0.0492004,0.0474403,2.7177
-2332.28,-864.772,TOP_LAYER,BOTTOM_LAYER,0.0492827,0.046054,4.98529
-2263.19,2213.19,TOP_LAYER,BOTTOM_LAYER,0.0467164,0.0465673,0.256366
-1842.62,2566.09,TOP_LAYER,BOTTOM_LAYER,0.046381,0.0463088,0.124251
-1610.88,2713.72,TOP_LAYER,BOTTOM_LAYER,0.0461871,0.0461157,0.122617
-1409.24,791.055,TOP_LAYER,BOTTOM_LAYER,0.0446538,0.0450369,-0.591666
-1213.06,-2445.6,TOP_LAYER,BOTTOM_LAYER,0.0317261,0.0307311,1.53633
-1134.24,1634.44,TOP_LAYER,BOTTOM_LAYER,11.8059,11.8059,-2.74281e-12
-1134.24,1734.44,TOP_LAYER,BOTTOM_LAYER,11.8055,11.8055,-5.7599e-11
-1134.24,1834.44,TOP_LAYER,BOTTOM_LAYER,11.8048,11.8048,-6.03418e-11
-1134.24,1934.44,TOP_LAYER,BOTTOM_LAYER,11.8044,11.8044,-5.7599e-11
-1134.24,2034.44,TOP_LAYER,BOTTOM_LAYER,11.804,11.804,-5.7599e-11
-1134.24,2134.44,TOP_LAYER,BOTTOM_LAYER,11.8038,11.8038,-5.48562e-11
-1134.24,2234.44,TOP_LAYER,BOTTOM_LAYER,0.0461313,0.0460272,0.160712
-1134.24,2334.44,TOP_LAYER,BOTTOM_LAYER,0.046161,0.0460612,0.154137
-1134.24,2434.44,TOP_LAYER,BOTTOM_LAYER,0.0461986,0.046105,0.14452
-1134.24,2534.44,TOP_LAYER,BOTTOM_LAYER,0.0462148,0.0461284,0.133359
-1134.24,2634.44,TOP_LAYER,BOTTOM_LAYER,0.0462186,0.0461474,0.109981
-1134.24,2734.44,TOP_LAYER,BOTTOM_LAYER,0.0461947,0.046148,0.0720289
-1035.63,-1364.17,TOP_LAYER,BOTTOM_LAYER,0.036404,0.0363372,0.0913768
-1035.63,1035.83,TOP_LAYER,BOTTOM_LAYER,0.04468,0.044994,-0.429869
-935.635,-1364.17,TOP_LAYER,BOTTOM_LAYER,0.036259,0.0361135,0.199275
-935.635,1035.83,TOP_LAYER,BOTTOM_LAYER,0.0446512,0.0449541,-0.414652
-800.943,-1324.47,TOP_LAYER,BOTTOM_LAYER,0.0361214,0.0355642,0.275203
-793.58,-246.717,TOP_LAYER,BOTTOM_LAYER,0.0410199,0.0410199,3.77014e-14
-431.37,-2330.24,TOP_LAYER,BOTTOM_LAYER,0.0231034,0.0234058,-0.466978
-134.126,-2330.24,TOP_LAYER,BOTTOM_LAYER,0.0224205,0.0221338,0.442656
-103.108,70.7467,TOP_LAYER,BOTTOM_LAYER,0.0403932,0.0403932,3.08466e-14
309.111,-2287.87,TOP_LAYER,BOTTOM_LAYER,0.019731,0.0198284,-0.118186
327.813,-1583.99,TOP_LAYER,BOTTOM_LAYER,11.9237,11.9237,-1.18571e-10
383.914,-2290.54,TOP_LAYER,BOTTOM_LAYER,0.0195262,0.0194525,0.0894336
567.547,-2617.74,TOP_LAYER,BOTTOM_LAYER,0.0185552,0.0183365,0.605572
558.128,-1462.93,TOP_LAYER,BOTTOM_LAYER,11.9237,11.9237,3.66491e-11
629.175,-1380.57,TOP_LAYER,BOTTOM_LAYER,0.0227733,0.0227733,-3.08466e-14
724.647,-1123.69,TOP_LAYER,BOTTOM_LAYER,0.0246857,0.0236914,0.491114
964.365,-1364.17,TOP_LAYER,BOTTOM_LAYER,0.0224276,0.0214329,1.36194
964.365,1035.83,TOP_LAYER,BOTTOM_LAYER,0.0380747,0.0383616,-0.39278
1064.37,-1364.17,TOP_LAYER,BOTTOM_LAYER,0.0224386,0.0210253,1.93507
1064.37,-1164.17,TOP_LAYER,BOTTOM_LAYER,0.0247285,0.023373,1.85592
1064.37,-264.168,TOP_LAYER,BOTTOM_LAYER,0.0370252,0.0377094,-0.936925
