refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.96,8,0
VCOMP0,VCOMP0-1,11.96,8,0
VCOMP0,VCOMP0-2,11.96,8,0
VCOMP0,VCOMP0-3,11.96,8,0
VCOMP0,VCOMP0-4,11.96,8,0
VCOMP0,VCOMP0-5,0,-40,0
VCOMP1,VCOMP1-0,11.8368,-8,0.0125
VCOMP1,VCOMP1-1,0.0492827,8,0.0125
VCOMP2,VCOMP2-0,11.8225,-8,0.0125
VCOMP2,VCOMP2-1,0.0521521,8,0.0125
VCOMP3,VCOMP3-0,11.8721,-8,0.0125
VCOMP3,VCOMP3-1,0.0390212,8,0.0125
VCOMP4,VCOMP4-0,11.8637,-8,0.0125
VCOMP4,VCOMP4-1,0.0413147,8,0.0125
VCOMP5,VCOMP5-0,11.8118,-4,0.025
VCOMP5,VCOMP5-1,0.0492004,4,0.025
VCOMP6,VCOMP6-0,11.8038,-0.660337,0.15
VCOMP6,VCOMP6-1,11.804,-0.661789,0.15
VCOMP6,VCOMP6-2,11.8044,-0.664473,0.15
VCOMP6,VCOMP6-3,11.8048,-0.667101,0.15
VCOMP6,VCOMP6-4,11.8055,-0.671642,0.15
VCOMP6,VCOMP6-5,11.8059,-0.674658,0.15
VCOMP6,VCOMP6-6,0.0461947,0.666612,0.15
VCOMP6,VCOMP6-7,0.0462186,0.666452,0.15
VCOMP6,VCOMP6-8,0.0462148,0.666478,0.15
VCOMP6,VCOMP6-9,0.0461986,0.666586,0.15
VCOMP6,VCOMP6-10,0.046161,0.666837,0.15
VCOMP6,VCOMP6-11,0.0461313,0.667035,0.15
